Sample ID,MigStatus,SampleDate,SamplePd,PctFN
13,Res,6/18/2014,4,2.798
14,Res,6/18/2014,4,2.800
15,Mig,6/18/2014,4,3.348
16,Res,6/18/2014,4,3.696
17,Res,6/19/2014,4,3.071
18,Res,6/19/2014,4,3.477
19,Res,7/1/2014,5,2.690
20,Res,7/1/2014,5,2.772
21,Res,7/1/2014,5,2.174
22,Mig,7/1/2014,5,2.694
23,Res,7/1/2014,5,2.917
24,Mig,7/14/2014,6,3.700
25,Mig,7/14/2014,6,2.800
26,Res,7/15/2014,6,2.655
27,Mig,7/15/2014,6,2.502
28,Res,7/30/2014,7,2.874
29,Res,7/30/2014,7,2.597
30,Res,7/31/2014,7,2.504
31,Mig,7/31/2014,7,2.439
32,Res,8/14/2014,8,2.599
33,Res,8/14/2014,8,2.297
34,Mig,8/14/2014,8,2.913
35,Res,8/15/2014,8,2.135
36,Mig,8/27/2014,9,2.684
37,Res,8/27/2014,9,2.309
38,Res,8/27/2014,9,2.369
39,Mig,8/29/2014,9,2.120
40,Res,9/10/2014,10,1.992
41,Res,9/11/2014,10,1.956
42,Res,9/12/2014,10,2.101
43,Mig,9/12/2014,10,2.893
44,Mig,9/25/2014,11,2.521
45,Mig,9/25/2014,11,2.151
46,Res,9/26/2014,11,2.084
47,Res,9/26/2014,11,1.992
48,Res,10/9/2014,12,2.387
49,Mig,10/9/2014,12,2.630
50,Res,10/9/2014,12,2.165
